hexagon_n,tree_pct,pop_ft,tree_class,tree_class_text,pop_class,pop_class_text,combined_class
234,39.25356158511766,1388.519030535042,1,medium,0,low,"medium trees, low pop"
235,26.001560972180783,7309.640602089612,0,low,2,high,"low trees, high pop"
236,41.416327289600055,2282.2608757901426,1,medium,1,medium,"medium trees, medium pop"
237,70.52916523354563,1092.5564991905114,2,high,0,low,"high trees, low pop"
238,51.559189970315074,3927.4758913831374,2,high,2,high,"high trees, high pop"
239,33.54461274724033,4851.761148766911,1,medium,2,high,"medium trees, high pop"
240,24.79114196297124,3814.6798354232064,0,low,2,high,"low trees, high pop"
241,12.61794180786097,7594.434975663352,0,low,2,high,"low trees, high pop"
242,45.17642143219115,1459.007572274597,1,medium,0,low,"medium trees, low pop"
243,51.644643105610925,2212.6866306154748,2,high,1,medium,"high trees, medium pop"
244,35.5246055545263,4124.041620706577,1,medium,2,high,"medium trees, high pop"
245,21.27064811107993,248.7329476241096,0,low,0,low,"low trees, low pop"
246,54.55162021614671,3437.3841447609902,2,high,2,high,"high trees, high pop"
247,12.17798674957719,4157.637974239739,0,low,2,high,"low trees, high pop"
248,38.73220993224949,4964.791739392279,1,medium,2,high,"medium trees, high pop"
249,62.78934638209353,2230.3329116588566,2,high,1,medium,"high trees, medium pop"
250,28.84013375982416,4539.933192887025,0,low,2,high,"low trees, high pop"
251,24.32775513672812,6227.137212672889,0,low,2,high,"low trees, high pop"
252,73.94647491769071,1386.4328819591622,2,high,0,low,"high trees, low pop"
253,38.936841007295094,2772.310342587516,1,medium,1,medium,"medium trees, medium pop"
254,45.97719690378787,2781.486249873978,2,high,1,medium,"high trees, medium pop"
255,40.3000843131817,2136.559456617926,1,medium,1,medium,"medium trees, medium pop"
256,32.630558890717495,1982.3738658874684,1,medium,1,medium,"medium trees, medium pop"
257,45.62816088286521,3742.605891291066,2,high,2,high,"high trees, high pop"
258,72.11817341410317,529.6710320608872,2,high,0,low,"high trees, low pop"
259,46.62527584335868,1247.720455590592,2,high,0,low,"high trees, low pop"
260,44.31365376278059,732.2964184679747,1,medium,0,low,"medium trees, low pop"
261,11.933156653565561,11373.459185461905,0,low,2,high,"low trees, high pop"
262,10.3714907061059,6689.606357524205,0,low,2,high,"low trees, high pop"
263,70.8494443925596,571.9414843774163,2,high,0,low,"high trees, low pop"
264,55.36218502108733,2463.745123628717,2,high,1,medium,"high trees, medium pop"
265,45.70582346843397,4336.89800470825,2,high,2,high,"high trees, high pop"
266,50.14329769949981,2831.1606070516523,2,high,1,medium,"high trees, medium pop"
267,49.014703593151346,1287.9772139353931,2,high,0,low,"high trees, low pop"
268,61.656608134948634,2327.328162177382,2,high,1,medium,"high trees, medium pop"
269,19.466617091712628,3087.259383195288,0,low,1,medium,"low trees, medium pop"
270,61.26235069287125,1472.794627608038,2,high,0,low,"high trees, low pop"
271,36.64884212886672,2777.02398953134,1,medium,1,medium,"medium trees, medium pop"
272,31.87071209511721,3039.669964411563,1,medium,1,medium,"medium trees, medium pop"
273,54.50072186043988,3552.358941304917,2,high,2,high,"high trees, high pop"
274,18.616596318683857,474.829705364352,0,low,0,low,"low trees, low pop"
275,1.03985754529117,4630.633260549751,0,low,2,high,"low trees, high pop"
276,55.87608204689661,2176.3236886019217,2,high,1,medium,"high trees, medium pop"
277,50.840822348324636,4062.693655144,2,high,2,high,"high trees, high pop"
278,11.90404244577452,1297.9291755049835,0,low,0,low,"low trees, low pop"
279,55.28416154207388,2181.675307528441,2,high,1,medium,"high trees, medium pop"
280,47.95414524971148,1587.234103857931,2,high,0,low,"high trees, low pop"
281,60.41020727419687,2665.8828353032754,2,high,1,medium,"high trees, medium pop"
