city_id,hexagon_n,UC_NM_MN,CTR_MN_NM,CTR_MN_ISO,tree_pct,pop_ft_pct,tr_pct_bin,geometry
1074.0,384,Asuncion,Paraguay,PRY,0.276010941025012,0.1085380234403251,"[0.26, 0.28)","POLYGON ((-57.479959703050625 -25.172005574129095, -57.479959703050625 -25.163008437338068, -57.47008222921124 -25.163008437338068, -57.47008222921124 -25.172005574129095, -57.479959703050625 -25.172005574129095))"
1105.0,736,Buenos Aires,Argentina,ARG,0.02580103376506,0.1992310072839394,"[0.02, 0.04)","POLYGON ((-58.40321312583955 -34.60285250896454, -58.40321312583955 -34.59385537220337, -58.39235269681632 -34.59385537220337, -58.39235269681632 -34.60285250896454, -58.40321312583955 -34.60285250896454))"
1138.0,179,Montevideo,Uruguay,URY,0.033506051085437,0.2227716161146607,"[0.02, 0.04)","POLYGON ((-56.18648045128156 -34.905265310048016, -56.18648045128156 -34.89626817328791, -56.17558018381354 -34.89626817328791, -56.17558018381354 -34.905265310048016, -56.18648045128156 -34.905265310048016))"
1303.0,748,São Paulo,Brazil,BRA,0.029015542375374,0.2152751118204876,"[0.02, 0.04)","POLYGON ((-46.64907009877002 -23.558568524361046, -46.64907009877002 -23.54957138756541, -46.63931777954414 -23.54957138756541, -46.63931777954414 -23.558568524361046, -46.64907009877002 -23.558568524361046))"
1452.0,62,Dakar,Senegal,SEN,0.0,0.954979620703402,"[0.0, 0.02)","POLYGON ((-17.39644925540334 14.748831581201085, -17.39644925540334 14.757828718091657, -17.38720469057302 14.757828718091657, -17.38720469057302 14.748831581201085, -17.39644925540334 14.748831581201085))"
1502.0,406,Conakry,Guinea,GIN,0.00637296330284,0.5036074589734153,"[0.0, 0.02)","POLYGON ((-13.608536125879759 9.605074140935574, -13.608536125879759 9.61407127781338, -13.599469116081632 9.61407127781338, -13.599469116081632 9.605074140935574, -13.608536125879759 9.605074140935574))"
1510.0,45,Reykjavik,Iceland,ISL,0.042369807875522,0.19188176892828,"[0.04, 0.06)","POLYGON ((-21.93041283750163 64.13837306875759, -21.93041283750163 64.1473702058925, -21.909914834930635 64.1473702058925, -21.909914834930635 64.13837306875759, -21.93041283750163 64.13837306875759))"
1551.0,89,Lisbon,Portugal,PRT,0.045190079697479,0.2391972720215732,"[0.04, 0.06)","POLYGON ((-9.137538457226144 38.72279252233399, -9.137538457226144 38.731789659297675, -9.126079151535572 38.731789659297675, -9.126079151535572 38.72279252233399, -9.137538457226144 38.72279252233399))"
1575.0,356,Casablanca,Morocco,MAR,3.4850705581e-05,0.8638991422480617,"[0.0, 0.02)","POLYGON ((-7.498898919602621 33.58455495680804, -7.498898919602621 33.59355209375302, -7.488167240209976 33.59355209375302, -7.488167240209976 33.58455495680804, -7.498898919602621 33.58455495680804))"
1656.0,42,Dublin,Ireland,IRL,0.150933796786605,0.1249119040308355,"[0.14, 0.16)","POLYGON ((-6.428392769314722 53.34887380564583, -6.428392769314722 53.357870942683114, -6.413415217204723 53.357870942683114, -6.413415217204723 53.34887380564583, -6.428392769314722 53.34887380564583))"
